路口编号,路口名称,相位,流向名称,线圈个数,车道线圈编号,车道线圈编号,车道线圈编号,车道线圈编号,,
61,庆春路-双菱路,A,西直,3,3,4,5,,,
61,庆春路-双菱路,AD,东直,3,9,10,11,,,
61,庆春路-双菱路,B,西左,2,1,2,,,,
61,庆春路-双菱路,BD,东左,1,8,,,,,
61,庆春路-双菱路,C,南直,2,6,7,,,,
61,庆春路-双菱路,C,北直,2,13,14,,,,
62,庆春路东路秋涛北路,B,西左,2,1,2,,,,
62,庆春路东路秋涛北路,A,西直,2,3,4,,,,
62,庆春路东路秋涛北路,AF,东直,2,11,12,,,,
62,庆春路东路秋涛北路,BF,东左,1,10,,,,,
62,庆春路东路秋涛北路,DE,北左,1,13,,,,,
62,庆春路东路秋涛北路,C,南直,2,7,8,,,,
62,庆春路东路秋涛北路,CG,北直,2,14,15,,,,
62,庆春路东路秋涛北路,DE,南左,1,6,,,,,
63,凤起路-双菱路,A,西直,2,2,3,,,,
63,凤起路-双菱路,A,东直,3,8,9,10,,,
63,凤起路-双菱路,B,西左,1,1,,,,,
63,凤起路-双菱路,C,南左,1,5,,,,,
63,凤起路-双菱路,B,东左,1,7,,,,,
65,凤起东路秋涛北路,D,东直,2,10,11,,,,
65,凤起东路秋涛北路,AB,北直,2,14,15,,,,
65,凤起东路秋涛北路,BC,北左,1,13,,,,,
65,凤起东路秋涛北路,C,南左,1,5,,,,,
65,凤起东路秋涛北路,A,南直,2,6,7,,,,
65,凤起东路秋涛北路,E,东左,1,1,,,,,
65,凤起东路秋涛北路,D,西直,2,2,3,,,,
65,凤起东路秋涛北路,E,西左,1,9,,,,,
66,秋涛北路景芳路,A,南直,3,1,2,3,,,
66,秋涛北路景芳路,D,西直,1,5,,,,,
66,秋涛北路景芳路,ABC,北左,1,6,,,,,
66,秋涛北路景芳路,AC,北直,3,7,8,9,,,
67,秋涛北路昙花庵路,AB,南直,2,3,4,,,,
67,秋涛北路昙花庵路,ABE,北直,3,8,9,10,,,
67,秋涛北路昙花庵路,C,西直,1,1,,,,,
67,秋涛北路昙花庵路,D,北左,1,7,,,,,
67,秋涛北路昙花庵路,C,东直,1,6,,,,,
67,秋涛北路昙花庵路,D,南左,1,2,,,,,
107,艮山西路凯旋路,A,西直,2,2,3,,,,
107,艮山西路凯旋路,AE,西右,1,4,,,,,
107,艮山西路凯旋路,B,西左,1,1,,,,,
107,艮山西路凯旋路,CD,南直,1,6,,,,,
107,艮山西路凯旋路,D,北直,2,14,15,,,,
107,艮山西路凯旋路,DE,南左,1,5,,,,,
107,艮山西路凯旋路,E,北左,1,13,,,,,
107,艮山西路凯旋路,A,东直,4,9,10,11,12,,
107,艮山西路凯旋路,CD,南右,1,7,,,,,
107,艮山西路凯旋路,B,东左,1,8,,,,,
108,新塘路艮山西路,A,西直,1,4,,,,,
108,新塘路艮山西路,AB,东直,1,11,,,,,
108,新塘路艮山西路,BCD,东左,2,9,10,,,,
108,新塘路艮山西路,CD,西左,1,3,,,,,
108,新塘路艮山西路,E,南直,2,7,8,,,,
108,新塘路艮山西路,EG,北直,2,14,15,,,,
108,新塘路艮山西路,F,南左,2,5,6,,,,
108,新塘路艮山西路,FG,北左,1,13,,,,,
128,庆春东路景昙路,AC,西直,2,2,3,,,,
128,庆春东路景昙路,AB,东直,2,7,8,,,,
128,庆春东路景昙路,BD,东左,1,6,,,,,
128,庆春东路景昙路,E,北直,1,10,,,,,
128,庆春东路景昙路,CD,西左,1,1,,,,,
129,凤起路-凯旋路,A,南直,2,1,2,,,,
129,凤起路-凯旋路,B,北左,1,5,,,,,
129,凤起路-凯旋路,D,东左,1,3,,,,,
129,凤起路-凯旋路,A,北直,2,6,7,,,,
154,秋涛北路新业路,A,南直,2,5,6,,,,
154,秋涛北路新业路,A,北直,1,13,,,,,
154,秋涛北路新业路,B,东直,1,3,,,,,
154,秋涛北路新业路,C,西直,1,2,,,,,
154,秋涛北路新业路,D,西左,1,1,,,,,
154,秋涛北路新业路,A,南左,1,4,,,,,
154,秋涛北路新业路,A,北左,1,12,,,,,
154,秋涛北路新业路,A,东直,1,11,,,,,
154,秋涛北路新业路,B,东直,1,10,,,,,
154,秋涛北路新业路,C,东直,1,9,,,,,
154,秋涛北路新业路,C,东左,1,8,,,,,
154,秋涛北路新业路,D,南右,1,7,,,,,
158,太平门直街-双菱路,A,南直,1,2,,,,,
158,太平门直街-双菱路,A,北直,1,4,,,,,
158,太平门直街-双菱路,B,西直,1,1,,,,,
158,太平门直街-双菱路,B,东直,1,3,,,,,
160,庆春东路新塘路,AB,北直,1,15,,,,,
160,庆春东路新塘路,A,南直,1,7,,,,,
160,庆春东路新塘路,C,南左,2,5,6,,,,
160,庆春东路新塘路,F,西左,2,1,2,,,,
160,庆春东路新塘路,DE,西直,1,3,,,,,
160,庆春东路新塘路,D,东直,2,10,11,,,,
160,庆春东路新塘路,C,北左,2,13,14,,,,
160,庆春东路新塘路,F,东左,1,9,,,,,
161,新塘路-景御路/太平门直街,DE,西直,2,1,2,,,,
161,新塘路-景御路/太平门直街,A,北直,3,11,12,13,,,
161,新塘路-景御路/太平门直街,AB,南直,3,4,5,6,,,
161,新塘路-景御路/太平门直街,C,北左,1,10,,,,,
161,新塘路-景御路/太平门直街,D,东直,2,8,9,,,,
161,新塘路-景御路/太平门直街,BC,南左,1,3,,,,,
162,凤起东路-新塘路,A,南直,1,7,,,,,
162,凤起东路-新塘路,A,北直,2,14,15,,,,
162,凤起东路-新塘路,B,南左,1,6,,,,,
162,凤起东路-新塘路,C,西直,2,3,4,,,,
162,凤起东路-新塘路,C,东直,1,11,,,,,
162,凤起东路-新塘路,D,西左,2,1,2,,,,
162,凤起东路-新塘路,A,右转,1,8,,,,,
162,凤起东路-新塘路,B,北左,1,13,,,,,
162,凤起东路-新塘路,D,东左,1,10,,,,,
163,新塘路-景芳路,CD,西直,1,2,,,,,
163,新塘路-景芳路,A,南直,4,3,4,5,6,,
163,新塘路-景芳路,A,北直,4,11,12,13,14,,
163,新塘路-景芳路,B,北左,1,10,,,,,
163,新塘路-景芳路,E,西左,1,1,,,,,
163,新塘路-景芳路,E,东左,1,8,,,,,
164,新塘路-昙花庵路,DE,东直,2,7,8,,,,
164,新塘路-昙花庵路,EF,东左,1,6,,,,,
164,新塘路-昙花庵路,C,南左,1,1,,,,,
164,新塘路-昙花庵路,A,南直,3,2,3,4,,,
164,新塘路-昙花庵路,BC,北左,1,9,,,,,
